uniprot_ac	gene	ptm_type	position	effect_direction	mechanism	writer	eraser	reader	ubiquitin_sites	evidence	source
P25963	NFKBIA	phosphorylation	36	destabilize	Doubly phosphorylated I-kappa-B-alpha peptide recruits beta-TrCP	IKK	-	beta-TrCP	-	experimental	PMC9839724
P26358	DNMT1	methylation	142	destabilize	K142 me1 by SETD7 -> methyl-activated degron -> ubiquitination at C-terminus. Recognized by L3MBTL3 (MBT domain reader) recruits CUL4/DCAF5 E3 ligase	SETD7	LSD1	L3MBTL3	C-terminus	experimental	PMC9839724
Q01094	E2F1	methylation	185	destabilize	K185 me1 by SETD7 -> methyl-activated degron -> ubiquitination at K161/K164. Recognized by L3MBTL3 recruits CUL4/DCAF5	SETD7	LSD1	L3MBTL3	K161/K164	experimental	PMC9839724
Q12778	FOXO1	methylation	273	destabilize	K273 me1 by G9a -> increased SKP2 interaction -> poly-ubiquitination/degradation. FOXO1 reduced G9a elevated in colon cancer	G9a	-	-	-	experimental	PMC9839724
Q12778	FOXO1	methylation	251	stabilize	R251/R253 (human) methylation by PRMT1 -> prevents Akt phosphorylation of S256 -> prevents cytoplasmic translocation -> stabilizes nuclear FOXO1 (indirect crosstalk)	PRMT1	-	-	-	experimental	PMC9839724
Q12778	FOXO1	methylation	253	stabilize	R253 methylation by PRMT1 -> prevents Akt phosphorylation of S256 -> prevents cytoplasmic translocation -> stabilizes nuclear FOXO1 (indirect crosstalk)	PRMT1	-	-	-	experimental	PMC9839724
O43524	FOXO3	methylation	271	destabilize	K271 me1 by SETD7 -> methyl-activated degron -> ubiquitination at K242/K259/K290/K569	SETD7	-	-	K242/K259/K290/K569	experimental	PMC9839724
P35398	RORA	methylation	38	destabilize	K38 me1 by EZH2 -> methyl-activated degron. K38me1 recognized by DCAF1 reader (chromodomain) recruits DDB1/CUL4 E3 ligase. EZH2 inversely correlated with ROR-alpha in breast cancer	EZH2	-	DCAF1	C-terminus	experimental	PMC9839724
P03372	ESR1	methylation	302	stabilize	K302 me1 by SETD7 -> stabilization + increased promoter recruitment. Inactivated degron	SETD7	-	-	-	experimental	PMC9839724
Q96LA8	PRMT6	methylation	35	destabilize	R35 me1/me2 auto-methylation by PRMT6 -> inactivated degron	PRMT6	-	-	-	experimental	PMC9839724
O43474	KLF4	methylation	374	destabilize	R374/R376/R377 me1/me2 by PRMT5 -> inactivated degron -> ubiquitination at K43	PRMT5	-	-	K43	experimental	PMC9839724
O43474	KLF4	methylation	376	destabilize	R376 me1/me2 by PRMT5 -> inactivated degron -> ubiquitination at K43	PRMT5	-	-	K43	experimental	PMC9839724
O43474	KLF4	methylation	377	destabilize	R377 me1/me2 by PRMT5 -> inactivated degron -> ubiquitination at K43	PRMT5	-	-	K43	experimental	PMC9839724
Q9Y6Q9	NCOA3	methylation	1171	destabilize	R1171 me1/me2 by CARM1 -> inactivated degron -> ubiquitination at K723/K786	CARM1	-	-	K723/K786	experimental	PMC9839724
O15169	AXIN1	methylation	378	stabilize	R378 me1 by PRMT1 -> increased GSK-3beta interaction -> reduced ubiquitination -> stabilization (indirect)	PRMT1	-	-	K789/K821	experimental	PMC9839724
O60341	KDM1A	methylation	-	stabilize	LSD1 tri-methylation by SUV39H2 -> protects from poly-ubiquitination -> stabilization -> increased half-life -> CoREST complex binding	SUV39H2	-	-	-	experimental	PMC9839724
P29590	PML	sumoylation	-	destabilize	PML-RAR SUMOylation upon arsenic induction -> RNF4 (StUbL) recognition -> poly-ubiquitination -> degradation	-	-	RNF4	-	experimental	PMC9839724
P10636	MAPT	sumoylation	-	stabilize	Tau SUMOylation + hyperphosphorylation -> mutually reinforcing -> proteolytic stabilization	-	-	-	-	experimental	PMC9839724
Q15043	SLC39A14	glycosylation	102	stabilize	N102 deglycosylation required for proteasomal degradation. Glycosylation = inactivated degron (stabilizing). Regulated by cellular iron content	-	-	-	-	experimental	PMC9839724
O15350	TP73	acetylation	-	stabilize	Acetylation competes with ubiquitination (competition mechanism)	-	-	-	-	experimental	PMC9839724
Q13761	RUNX3	acetylation	-	stabilize	Acetylation competes with ubiquitination (competition mechanism)	-	-	-	-	experimental	PMC9839724
O15105	SMAD7	acetylation	-	stabilize	Acetylation competes with ubiquitination (competition mechanism)	-	-	-	-	experimental	PMC9839724
P36956	SREBF1	acetylation	-	stabilize	SREBP1a acetylation competes with ubiquitination (competition mechanism)	-	-	-	-	experimental	PMC9839724
Q12772	SREBF2	acetylation	-	stabilize	SREBP2 acetylation competes with ubiquitination (competition mechanism)	-	-	-	-	experimental	PMC9839724
